trial_labels,CONcon_HR_1,conCON_FZ_2,CONincon_HR_3,conINCON_HZ_4,INCONcon_FR_5,inconCON_FZ_6,INCONincon_FR_7,inconINCON_HZ_8,RPE,ExactAge,AgeGroup,StudyID
98,0.50458174836441,0.495411079045894,0.502284094718691,0.50000296253704,0.50137900884193,0.498185543429673,0.503666505939224,0.495416565419493,0.49908094258081,11.665753424657536,Children,46
99,0.50458174836441,0.495411079045894,0.502742788127361,0.50000296253704,0.50137900884193,0.498185543429673,0.503666505939224,0.495416565419493,0.497715905281309,11.665753424657536,Children,46
100,0.50458174836441,0.495411079045894,0.502742788127361,0.499542161383615,0.50137900884193,0.498185543429673,0.503666505939224,0.495416565419493,-0.50000296253704,11.665753424657536,Children,46
101,0.50458174836441,0.495411079045894,0.502742788127361,0.499542161383615,0.50137900884193,0.498185543429673,0.504123925322073,0.495416565419493,0.496333494060776,11.665753424657536,Children,46
102,0.50458174836441,0.494954509757814,0.502742788127361,0.499542161383615,0.50137900884193,0.498185543429673,0.504123925322073,0.495416565419493,-0.495411079045894,11.665753424657536,Children,46
103,0.504116727416408,0.494954509757814,0.502742788127361,0.499542161383615,0.50137900884193,0.498185543429673,0.504123925322073,0.495416565419493,-0.50458174836441,11.665753424657536,Children,46
104,0.504116727416408,0.494954509757814,0.502742788127361,0.499542161383615,0.500916939528571,0.498185543429673,0.504123925322073,0.495416565419493,-0.50137900884193,11.665753424657536,Children,46
105,0.504116727416408,0.494954509757814,0.503201058805632,0.499542161383615,0.500916939528571,0.498185543429673,0.504123925322073,0.495416565419493,0.497257211872639,11.665753424657536,Children,46
106,0.504116727416408,0.494954509757814,0.503658907143091,0.499542161383615,0.500916939528571,0.498185543429673,0.504123925322073,0.495416565419493,0.496798941194368,11.665753424657536,Children,46
107,0.504116727416408,0.494954509757814,0.504116333528966,0.499542161383615,0.500916939528571,0.498185543429673,0.504123925322073,0.495416565419493,0.496341092856909,11.665753424657536,Children,46
108,0.504116727416408,0.494954509757814,0.504116333528966,0.499542161383615,0.500916939528571,0.497726417203967,0.504123925322073,0.495416565419493,-0.498185543429673,11.665753424657536,Children,46
109,0.504116727416408,0.495419958088868,0.504116333528966,0.499542161383615,0.500916939528571,0.497726417203967,0.504123925322073,0.495416565419493,0.505045490242186,11.665753424657536,Children,46
110,0.504116727416408,0.495419958088868,0.504116333528966,0.499542161383615,0.501376892903153,0.497726417203967,0.504123925322073,0.495416565419493,0.499083060471429,11.665753424657536,Children,46
111,0.504116727416408,0.495419958088868,0.504116333528966,0.499542161383615,0.501836422386155,0.497726417203967,0.504123925322073,0.495416565419493,0.498623107096847,11.665753424657536,Children,46
112,0.504116727416408,0.495419958088868,0.504116333528966,0.499081784903081,0.501836422386155,0.497726417203967,0.504123925322073,0.495416565419493,-0.499542161383615,11.665753424657536,Children,46
113,0.504116727416408,0.495419958088868,0.504116333528966,0.499081784903081,0.501836422386155,0.497726417203967,0.503659326302342,0.495416565419493,-0.504123925322073,11.665753424657536,Children,46
114,0.504116727416408,0.495419958088868,0.504116333528966,0.499081784903081,0.501836422386155,0.497267714107542,0.503659326302342,0.495416565419493,-0.497726417203967,11.665753424657536,Children,46
115,0.504116727416408,0.495419958088868,0.504116333528966,0.499081784903081,0.501836422386155,0.497267714107542,0.503659326302342,0.494959991075189,-0.495416565419493,11.665753424657536,Children,46
116,0.504116727416408,0.495419958088868,0.504116333528966,0.499081784903081,0.501836422386155,0.497267714107542,0.504116752301922,0.494959991075189,0.496340673697658,11.665753424657536,Children,46
117,0.504116727416408,0.495419958088868,0.504116333528966,0.499543429550378,0.501836422386155,0.497267714107542,0.504116752301922,0.494959991075189,0.500918215096919,11.665753424657536,Children,46
118,0.504116727416408,0.49496338061789,0.504116333528966,0.499543429550378,0.501836422386155,0.497267714107542,0.504116752301922,0.494959991075189,-0.495419958088868,11.665753424657536,Children,46
119,0.504116727416408,0.49496338061789,0.504116333528966,0.500004648747424,0.501836422386155,0.497267714107542,0.504116752301922,0.494959991075189,0.500456570449622,11.665753424657536,Children,46
120,0.504116727416408,0.49496338061789,0.504573338352127,0.500004648747424,0.501836422386155,0.497267714107542,0.504116752301922,0.494959991075189,0.495883666471034,11.665753424657536,Children,46
