betaCC,betaCI,betaIC,betaII,alpha,lik,ExactAge,AgeGroup,StudyID
1e-6,0.397247489230644,0.29066320877374,0.278979237216525,1,123.776348889701,12.26027397260274,Children,73
7.06033309166404,1.22387284312475,4.24085241462972,3.54902552950221,0.132397283211212,96.264591186442,10.41917808219178,Children,74
30,6.85018885833395,1e-6,0.515970812686577,0.00620640668109793,120.248764529279,11.58904109589041,Children,75
9.35474724211512,20.9099547515702,5.36816239240995,30,0.0656798660451779,65.9575745832613,22.589041095890412,Adults,76
5.85716366407231,30,17.6727653857895,22.7420778629157,0.173563775466386,29.0626784275767,22.802739726027397,Adults,77
4.86636961182287,10.9081229138057,1.85084747123729,10.9640113058361,0.07050704315882,94.9111160489749,15.73972602739726,Adolescents,78
30,1e-6,1e-6,1.68359343165873,0.00358287982668212,123.050506117531,13.87945205479452,Adolescents,79
1.26242152901966,1.3357098920144,0.442654275499686,0.675623826396636,1,113.572956618371,22.027397260273972,Adults,80
15.0090702946144,30,5.54069336320599,13.364046559108,0.056754817630727,52.7361008104198,22.775342465753425,Adults,81
1.58384030476628,0.737305130979345,1e-6,0.167031949453561,1,118.631775834962,15.413698630136986,Adolescents,82
1.99818641831492,1.22768013982391,1.91546585385744,28.2584298402464,1,83.9698442190636,16.794520547945204,Adolescents,83
30,13.4771965119508,0.0440629987134507,1e-6,0.0111340113978647,112.187251468181,15.123287671232877,Adolescents,84
17.5141483318723,1e-6,1e-6,30,0.00159860337511444,124.084916923518,17.068493150684933,Adolescents,85
2.91515610458881,5.28673753105599,5.58209775565459,6.80024828402846,0.117034657190682,80.7971823309392,15.75890410958904,Adolescents,86
4.40187107820007,5.65490500255321,6.56568561125144,10.1273594290225,0.116233807752689,93.0796824780006,15.756164383561645,Adolescents,87
6.05732987771162,7.71137468342746,12.8334286978291,27.5107525009444,0.100911417377725,50.070242131733,16.695890410958903,Adolescents,88
19.1515179698644,20.9897756240396,27.7513626569252,28.0687444708874,0.0170125210856789,73.4511818267698,16.654794520547945,Adolescents,89
3.85614917765216,1e-6,16.8054984486647,6.24038675299009,0.0866839490670274,94.3054814004068,11.575342465753424,Children,90
0.0541205112884013,8.48913446484077,0.733898504391636,0.0798159836629598,0.200041047443856,103.886286007973,13.164383561643836,Adolescents,91
7.44628818439478,15.510074319338,30,8.94253959184826,0.0503581831445047,58.2612717119558,17.068493150684933,Adolescents,92
17.4418622978915,28.9931102014646,13.799673622932,23.4664791707569,0.0698416922776126,29.6711115237326,16.578082191780823,Adolescents,93
