StudyID,beta_in,alpha_cc_in,alpha_ci_in,alpha_ic_in,alpha_ii_in,lik_in,beta_out,alpha_cc_out,alpha_ci_out,alpha_ic_out,alpha_ii_out,lik_out
30,1.00000000013978e-6,1,0.198755809373869,0,0.0116342259787075,-124.766498762325,0.2273731631489,0,0,1,0,124.596321790928
31,30,0.133092984778136,0.0133087518614144,0.102984850643712,0.0226904515795627,-39.7963774669477,29.5454760411281,0.480278250967573,0.0140786540249552,0.0768023526163609,0.0200288130964504,37.5303818090825
32,2.4575887935055,0.0100682973729437,0.17070068067741,0.342731888327722,0,-111.059264346663,3.76487191435867,0.00361548271175667,0.102193364979075,0.288070268799939,0,110.364626464608
33,0.587176511941196,0.0562177125387949,0.00628697163836007,0.125685550885004,0,-121.602831479107,0.56136981871395,0.155874248262069,1,0.390468076226654,1,121.281293636606
34,30,0.0520191212844806,0.0322752698269949,0.0105156077294563,0.270580341015331,-41.851065177572,30,0.02846787894605,0.0385040729362841,0.00791413133998457,0.193321903326175,40.3201197962072
35,30,0.260605530530358,0,0.356063074514206,0.00142247427324707,-68.3200692028896,30,0.280508624896072,0,0.398903186791947,0,67.038845171332
36,30,0,0.569197327310646,0.00473009473369802,0.0382938743240098,-64.6817769520863,30,0.00233559609267145,0.626092188032475,0.00354094717764437,0.0650299708705487,62.1516877212626
37,30,0.0520191212844806,0.00408164126705984,1,0,-71.0047568765431,30,0.194952922485337,0.00399967459737418,1,0,70.2671575779165
38,25.8392807441658,0,0.139391421546515,0.119251664151191,0.00142247427324707,-74.0217751449648,30,3.5351528339109e-4,0.0768213654822629,0.342505429998409,2.9740669241075e-4,72.2953312856206
39,2.01955522777253,0.0982609277150864,0.0559851987188907,0,0.0116342259787075,-114.26992129979,9.999999992516e-7,0,1.11022302462516e-16,0,0,124.76649250079
40,1.55021835225231,0.0520191212844806,0.929950805276214,0,1,-117.160232317585,1.17892084659106,0.155737442425308,1,0.00760008718604158,1,115.609841704633
41,4.31274003150185,0.133092984778136,0.0520835863038502,0,0,-117.449350457688,2.93039782685894,0.10860734639112,0.0910673339864921,0,0.0145061436836412,115.736960704368
42,3.15715945174918,0.171055565279038,0.0296911448690628,0.199687512299995,0,-107.741101053063,30,0.00571226037847105,0.00450952613780463,0.0116628720752876,0,104.791361128217
43,1.28860809883252,0.114361517022781,0.71777315305047,0.112317065078932,0.253682606675516,-113.302661204769,2.30517243973548,0.120008288274727,0.746566434430232,0.0455588564883517,0.359353601599719,110.693759376417
