StudyID,beta_cc_in,beta_ci_in,beta_ic_in,beta_ii_in,alpha_in,lik_in,beta_cc_out,beta_ci_out,beta_ic_out,beta_ii_out,alpha_out,lik_out
73,17.4418622978915,0.970898158261319,0.435133883362415,1e-6,0.129727321283953,-102.620865442039,26.6964695930352,1e-6,1e-6,1e-6,0.0821533284805196,99.7152417567545
74,4.03271008330286,1.94557457529785,2.74092830587168,30,0.200738234351206,-77.5957114594479,4.31391014730636,2.38008954135866,2.54730862211465,25.4998216390137,0.226869611350368,77.005017214148
75,8.48380249112364,30,0.478430078820102,1.40459206234261,0.140548889372233,-79.9595353159621,7.56357265953038,14.1729524808395,0.01831810568344,0.92107605289499,0.223997248303173,78.6123219382666
76,30,8.57349988234746,12.8334286978291,4.72019544594015,0.0514411855438072,-71.9203479576531,30,6.84885471230691,11.6921532286743,4.38749957601475,0.0547885986841083,71.6638666354739
77,11.4128771593258,15.7199432174233,16.8054984486647,1e-6,0.0656798660451779,-61.1935993995182,10.0701594297229,12.5963317580066,14.212992970766,0.493013625875932,0.14202148095532,57.5793394520396
78,11.550909385018,1e-6,30,30,0.00955153671338725,-110.233524325298,13.3390991602339,2.69028191485818,30,11.2128311858202,0.0128524388493272,109.054105352592
79,8.48380249112364,1.79530583506588,1e-6,23.1874581281433,1,-87.6287853818227,29.000189655224,1.70354699815515,0.481331294902911,29.2170708397803,1,86.7025871002093
80,6.0549435005086,22.2287884667621,30,27.5107525009444,0.00955153671338725,-98.4205325642239,4.48851215172201,9.21581908714263,10.6716821656897,9.04330868621803,0.0272727190338093,97.5213002795069
81,1e-6,1.13480028261316,1e-6,1e-6,0.0157572245778644,-124.658979978467,0.378594632131952,0.182766834463634,1e-6,1e-6,0.339220700637125,124.441010096781
82,3.15012203521668,1e-6,1.0257667027499,11.7427051349107,0.075355943503079,-104.105367489528,1.32894758707997,1e-6,0.0479284556112782,18.7651930051669,0.143114367572605,100.992868904825
83,1e-6,24.130663308272,1.29556816120446,0.167031949453561,0.200738234351206,-97.3839432838018,1e-6,19.074033045595,1.96050454826508,0.139725415904604,0.171682500048456,96.5597483160587
84,4.78595777175387,10.0594368313576,1e-6,1e-6,0.140548889372233,-97.1077252630424,27.132738620265,30,1.24658037207398,1e-6,0.0231839645468546,94.0130982860862
85,0.35304968244942603,1e-6,1e-6,1e-6,0.0780041087953631,-124.32584564109,0.991908257112056,1e-6,1e-6,1e-6,0.308673821706792,123.514281981981
86,11.550909385018,7.71137468342746,5.54069336320599,1e-6,1,-60.531598942671,30,7.30683383690088,6.1235478842648,0.201126070179966,0.941983103591295,58.0878181777258
87,4.62576965725929,5.25095594000099,0.435133883362415,4.71516930560226,0.285244792603428,-66.6129137814559,4.34688232630721,7.13914340591408,0.301386776824643,7.3004033900036,0.228181324178573,65.2613127315105
88,3.85614917765216,2.64837772666462,19.596725479216,1e-6,0.145398521599863,-89.7241602438133,5.55893281006876,3.58184223636627,27.5765683308038,1e-6,0.0622527968109215,88.8116405906562
89,13.0470438747528,1.3357098920144,0.271900476669702,30,0.0538688298703088,-85.2749260915607,25.4010995735661,0.167052937022887,0.0685224049746997,30,0.0410942919383433,83.3715770147343
90,11.4128771593258,24.130663308272,1.19775555584719,1.41386664508442,0.0130291972921225,-116.532152698593,1.50319715257588,6.70119016817553,1.93301527052331,0.0145724219075579,0.0715548225504926,113.559453857129
91,7.06033309166404,1e-6,1e-6,0.637057119413176,0.075355943503079,-109.955174173322,30,1.63743156030392,1.95450914184026,7.4292461020749,0.0104937830416068,108.24875652021301
92,4.40187107820007,29.2164623518484,1.29556816120446,1e-6,0.352689853954683,-85.2198266669935,4.18314295304459,30,1.52458913543644,1e-6,0.258388977210514,84.3693511730352
93,30,1.22768013982391,9.35621394450203,11.0821248765687,1,-53.0603622768138,29.1510070116551,1.08110751175378,28.5098094648472,30,1,52.9162971284528
94,0.846859813449728,0.897318237607784,3.02345830706315,10.1273594290225,1,-83.0428255370352,1.48879642230234,0.891618989647958,2.95315367458312,30,1,81.9636276050468
95,18.122989107876,13.2702071586842,2.68695325724674,10.7670951995406,0.84654280992027,-56.0716397584532,30,9.14688688386826,1.82104567722974,30,0.858107445441745,53.0648120883435
96,17.5141483318723,15.844108505778,1e-6,1e-6,4.46508720273869e-5,-124.711471752618,30,15.9124126713492,3.77953877992884,7.66731251656867,0.00341109953370698,121.383625633129
97,1e-6,1e-6,0.435133883362415,4.71516930560226,0.173563775466386,-109.093582073125,1e-6,1e-6,1.11946736706279,9.24561667454179,0.115332984847737,106.825772350446
98,19.1515179698644,17.9854639775659,16.35234366183,1.68359343165873,1,-61.8726773051003,6.16409717892031,30,5.42693343485286,1.86903266119825,0.937387312838007,60.242658492417704
99,30,0.354865332395135,1e-6,27.5107525009444,0.428207628084445,-68.2398926965571,30,0.27197775720184,0.0168491350845407,30,0.421009211391309,68.1438561820635
100,8.72260925277334,1.22387284312475,2.75623994503749,30,0.0122119148723906,-103.783605825116,16.3592329251318,2.03884456795825,11.7850092528164,30,0.00841958733010557,101.891765817225
101,12.6459094235313,10.24557343346,16.3377712023501,1.01011628202244,0.00494916621536201,-121.447834155425,10.1087797419358,1e-6,30,1e-6,0.0050539534454201,119.934071203631
102,3.6250828309162,30,0.120155704463022,1.68359343165873,0.00494916621536201,-114.710172957687,1.00426591018465,5.0773524264308,2.01638032971714,0.475678744548728,0.0644362710339978,111.338782016531
