Model,AIC_Value,ExactAge,AgeGroup,StudyID
EmoAvg,186.985197463473,14.41917808219178,Adolescents,31
Cong,171.556633970802,14.41917808219178,Adolescents,31
Cond,171.38994464228,14.41917808219178,Adolescents,31
CongBeta,176.561781017911,14.41917808219178,Adolescents,31
CondBeta,176.574202508009,14.41917808219178,Adolescents,31
Vanilla,252.146690640461,13.868493150684932,Adolescents,32
EmoQ,241.850389584551,13.868493150684932,Adolescents,32
EmoBias,245.311997449427,13.868493150684932,Adolescents,32
EmoHier,238.201979112159,13.868493150684932,Adolescents,32
EmoAvg,241.944220693894,13.868493150684932,Adolescents,32
Cong,246.309137919134,13.868493150684932,Adolescents,32
Cond,244.031593374964,13.868493150684932,Adolescents,32
CongBeta,244.165326073888,13.868493150684932,Adolescents,32
CondBeta,244.809898472778,13.868493150684932,Adolescents,32
Vanilla,253.532985001581,11.178082191780822,Children,33
EmoQ,206.567160207489,11.178082191780822,Children,33
EmoBias,207.770925147246,11.178082191780822,Children,33
EmoHier,210.567160207493,11.178082191780822,Children,33
EmoAvg,208.419649589408,11.178082191780822,Children,33
Cong,223.177284205618,11.178082191780822,Children,33
Cond,225.177284205828,11.178082191780822,Children,33
CongBeta,223.177286346359,11.178082191780822,Children,33
CondBeta,225.177286345403,11.178082191780822,Children,33
Vanilla,253.532985001581,12.465753424657532,Children,34
EmoQ,244.728777412721,12.465753424657532,Children,34
EmoBias,247.428621086001,12.465753424657532,Children,34
EmoHier,247.773991110021,12.465753424657532,Children,34
EmoAvg,239.076967974686,12.465753424657532,Children,34
Cong,253.833597770742,12.465753424657532,Children,34
Cond,256.730411462627,12.465753424657532,Children,34
CongBeta,257.532985001581,12.465753424657532,Children,34
CondBeta,254.346585395566,12.465753424657532,Children,34
Vanilla,202.179442798629,8.704109589041096,Children,35
EmoQ,212.228907956004,8.704109589041096,Children,35
EmoBias,202.096047704498,8.704109589041096,Children,35
EmoHier,200.258446581262,8.704109589041096,Children,35
EmoAvg,205.718696811405,8.704109589041096,Children,35
Cong,202.660706357469,8.704109589041096,Children,35
Cond,199.256071407521,8.704109589041096,Children,35
CongBeta,204.658394917309,8.704109589041096,Children,35
CondBeta,204.962907783186,8.704109589041096,Children,35
Vanilla,253.532985001581,8.073972602739726,Children,36
EmoQ,253.09226264148,8.073972602739726,Children,36
EmoBias,255.219637022954,8.073972602739726,Children,36
EmoHier,256.439661919037,8.073972602739726,Children,36
EmoAvg,254.377191249032,8.073972602739726,Children,36
Cong,253.111616682763,8.073972602739726,Children,36
Cond,255.111616773859,8.073972602739726,Children,36
CongBeta,253.118452570947,8.073972602739726,Children,36
CondBeta,255.118452573152,8.073972602739726,Children,36
Vanilla,253.532985001581,8.942465753424658,Children,37
EmoQ,253.532989001609,8.942465753424658,Children,37
EmoBias,255.532985630641,8.942465753424658,Children,37
EmoHier,257.532985001581,8.942465753424658,Children,37
EmoAvg,255.313276509476,8.942465753424658,Children,37
Cong,257.532985001581,8.942465753424658,Children,37
Cond,259.532985001581,8.942465753424658,Children,37
CongBeta,256.610349057041,8.942465753424658,Children,37
CondBeta,258.230287496245,8.942465753424658,Children,37
Vanilla,253.532985001581,9.035616438356165,Children,38
EmoQ,253.532989001603,9.035616438356165,Children,38
EmoBias,254.059763259955,9.035616438356165,Children,38
EmoHier,255.818154249041,9.035616438356165,Children,38
EmoAvg,255.532985489428,9.035616438356165,Children,38
Cong,255.409265780605,9.035616438356165,Children,38
Cond,257.31778586701,9.035616438356165,Children,38
CongBeta,255.338900795173,9.035616438356165,Children,38
CondBeta,258.848014962059,9.035616438356165,Children,38
Vanilla,253.532985001581,9.465753424657532,Children,39
EmoQ,252.820934475643,9.465753424657532,Children,39
EmoBias,253.430515771892,9.465753424657532,Children,39
EmoHier,257.532977001604,9.465753424657532,Children,39
EmoAvg,254.820934475648,9.465753424657532,Children,39
Cong,257.532985001581,9.465753424657532,Children,39
Cond,259.532985001581,9.465753424657532,Children,39
CongBeta,253.549389617979,9.465753424657532,Children,39
CondBeta,255.549389617977,9.465753424657532,Children,39
Vanilla,243.716363344532,9.657534246575343,Children,40
EmoQ,244.286694650814,9.657534246575343,Children,40
EmoBias,239.764241441894,9.657534246575343,Children,40
EmoHier,243.224577699394,9.657534246575343,Children,40
EmoAvg,238.88793199907,9.657534246575343,Children,40
Cong,239.595552817542,9.657534246575343,Children,40
Cond,239.417186882087,9.657534246575343,Children,40
CongBeta,237.298307354561,9.657534246575343,Children,40
CondBeta,239.018560875166,9.657534246575343,Children,40
Vanilla,253.532985001581,8.67123287671233,Children,41
EmoQ,253.532991001603,8.67123287671233,Children,41
EmoBias,254.468893969247,8.67123287671233,Children,41
EmoHier,254.500926563023,8.67123287671233,Children,41
EmoAvg,247.631795820579,8.67123287671233,Children,41
Cong,253.458488567649,8.67123287671233,Children,41
Cond,255.423153214406,8.67123287671233,Children,41
CongBeta,254.363889256674,8.67123287671233,Children,41
CondBeta,256.363889250355,8.67123287671233,Children,41
Vanilla,250.255020415605,10.095890410958903,Children,42
EmoQ,161.429513828678,10.095890410958903,Children,42
EmoBias,134.678484686898,10.095890410958903,Children,42
EmoHier,159.658573701104,10.095890410958903,Children,42
EmoAvg,161.634598615689,10.095890410958903,Children,42
Cong,217.51503848559,10.095890410958903,Children,42
Cond,199.47378664636,10.095890410958903,Children,42
CongBeta,217.042991447898,10.095890410958903,Children,42
CondBeta,198.669130504454,10.095890410958903,Children,42
Vanilla,206.741659370657,9.915068493150685,Children,43
EmoQ,189.50928665997,9.915068493150685,Children,43
EmoBias,190.397460227854,9.915068493150685,Children,43
EmoHier,209.121811642762,9.915068493150685,Children,43
EmoAvg,188.845116181628,9.915068493150685,Children,43
Cong,210.384558038462,9.915068493150685,Children,43
Cond,209.286335751936,9.915068493150685,Children,43
CongBeta,210.62518862419,9.915068493150685,Children,43
CondBeta,209.533165574259,9.915068493150685,Children,43
Vanilla,178.459930115733,16.2986301369863,Adolescents,44
EmoQ,210.342276865556,16.2986301369863,Adolescents,44
EmoBias,196.504737202317,16.2986301369863,Adolescents,44
EmoHier,174.366365057957,16.2986301369863,Adolescents,44
EmoAvg,207.574346665585,16.2986301369863,Adolescents,44
Cong,172.859332959716,16.2986301369863,Adolescents,44
Cond,174.572019687133,16.2986301369863,Adolescents,44
CongBeta,173.394450469881,16.2986301369863,Adolescents,44
CondBeta,175.095969832315,16.2986301369863,Adolescents,44
Vanilla,249.490593874994,14.158904109589042,Adolescents,45
EmoQ,246.80770708431,14.158904109589042,Adolescents,45
