Model,Pseudor_Value,ExactAge,AgeGroup,StudyID
Random,-124.76649250079,15.73972602739726,Adolescents,78
Vanilla,0.186256863150407,15.73972602739726,Adolescents,78
EmoQ,0.153517841365393,15.73972602739726,Adolescents,78
EmoBias,0.16978957053439,15.73972602739726,Adolescents,78
EmoHier,0.208917777702288,15.73972602739726,Adolescents,78
EmoAvg,0.146743472274962,15.73972602739726,Adolescents,78
Cong,0.193969734041938,15.73972602739726,Adolescents,78
Cond,0.241253367426895,15.73972602739726,Adolescents,78
CongBeta,0.196811690507538,15.73972602739726,Adolescents,78
CondBeta,0.239290019727261,15.73972602739726,Adolescents,78
Random,-124.76649250079,13.87945205479452,Adolescents,79
Vanilla,-1.77635683940025e-15,13.87945205479452,Adolescents,79
EmoQ,7.1267672982344e-4,13.87945205479452,Adolescents,79
EmoBias,7.6529051274365e-4,13.87945205479452,Adolescents,79
EmoHier,2.00374222769639e-8,13.87945205479452,Adolescents,79
EmoAvg,7.1267672982389e-4,13.87945205479452,Adolescents,79
Cong,0.0137516108723045,13.87945205479452,Adolescents,79
Cond,-1.77635683940025e-15,13.87945205479452,Adolescents,79
CongBeta,0.0137535836790402,13.87945205479452,Adolescents,79
CondBeta,0.0137535835853353,13.87945205479452,Adolescents,79
Random,-124.76649250079,22.027397260273972,Adults,80
Vanilla,0.0774449721431716,22.027397260273972,Adults,80
EmoQ,0.0835744142093423,22.027397260273972,Adults,80
EmoBias,0.0774449721390926,22.027397260273972,Adults,80
EmoHier,0.0774449717788307,22.027397260273972,Adults,80
EmoAvg,0.0704464762098747,22.027397260273972,Adults,80
Cong,0.0885158069040788,22.027397260273972,Adults,80
Cond,0.100387784434644,22.027397260273972,Adults,80
CongBeta,0.0810557887567271,22.027397260273972,Adults,80
CondBeta,0.089715881708772,22.027397260273972,Adults,80
Random,-124.76649250079,22.775342465753425,Adults,81
Vanilla,0.518628215189514,22.775342465753425,Adults,81
EmoQ,0.196328852191011,22.775342465753425,Adults,81
EmoBias,0.417780028353988,22.775342465753425,Adults,81
EmoHier,0.537521616289438,22.775342465753425,Adults,81
EmoAvg,0.398697056638375,22.775342465753425,Adults,81
Cong,0.537525779610973,22.775342465753425,Adults,81
Cond,0.576705677371079,22.775342465753425,Adults,81
CongBeta,0.531362239434408,22.775342465753425,Adults,81
CondBeta,0.577321604916594,22.775342465753425,Adults,81
Random,-124.76649250079,15.413698630136986,Adolescents,82
Vanilla,0.0200408818282934,15.413698630136986,Adolescents,82
EmoQ,0.0529268623244651,15.413698630136986,Adolescents,82
EmoBias,0.0528250011017742,15.413698630136986,Adolescents,82
