Model,BIC_Value,ExactAge,AgeGroup,StudyID
EmoAvg,261.899691555442,11.665753424657536,Children,46
Cong,270.304812405142,11.665753424657536,Children,46
Cond,273.299446126718,11.665753424657536,Children,46
CongBeta,268.125904611775,11.665753424657536,Children,46
CondBeta,273.303816453224,11.665753424657536,Children,46
Vanilla,259.877579245308,15.326027397260274,Adolescents,47
EmoQ,257.162387018348,15.326027397260274,Adolescents,47
EmoBias,263.645618155774,15.326027397260274,Adolescents,47
EmoHier,269.044911395423,15.326027397260274,Adolescents,47
EmoAvg,264.017426571829,15.326027397260274,Adolescents,47
Cong,265.750453842428,15.326027397260274,Adolescents,47
Cond,270.136147430965,15.326027397260274,Adolescents,47
CongBeta,264.880986239199,15.326027397260274,Adolescents,47
CondBeta,269.936956720516,15.326027397260274,Adolescents,47
Vanilla,178.547981542905,9.865753424657534,Children,48
EmoQ,162.196365642854,9.865753424657534,Children,48
EmoBias,125.472264462499,9.865753424657534,Children,48
EmoHier,187.134498173258,9.865753424657534,Children,48
EmoAvg,124.972599971442,9.865753424657534,Children,48
Cong,154.998282044725,9.865753424657534,Children,48
Cond,163.195412994942,9.865753424657534,Children,48
CongBeta,155.360876732806,9.865753424657534,Children,48
CondBeta,160.137424109696,9.865753424657534,Children,48
Vanilla,258.83678317966,9.865753424657534,Children,49
EmoQ,254.324572322362,9.865753424657534,Children,49
EmoBias,258.541826715919,9.865753424657534,Children,49
EmoHier,262.574308681201,9.865753424657534,Children,49
EmoAvg,257.682472555987,9.865753424657534,Children,49
Cong,266.871967511552,9.865753424657534,Children,49
Cond,275.497769256032,9.865753424657534,Children,49
CongBeta,267.424284875577,9.865753424657534,Children,49
CondBeta,272.112058662751,9.865753424657534,Children,49
Vanilla,251.393316555637,15.227397260273971,Adolescents,50
EmoQ,184.088129304308,15.227397260273971,Adolescents,50
EmoBias,187.517326964809,15.227397260273971,Adolescents,50
